Sl #,Product Name,"Pack
Size","Product
List","MRP
(Tk)","Trade 
Price (Tk)
Incl. VAT","Retailer
Profit","Total
Purchage","Total 
Sales","Total 
Sales
Amount",Commission,Stock,Status
1, GERMNIL GEL HAND SANITIZER , 9 ML , GERMNIL GEL HAND SANITIZER_9 ML ,  40.00 ,  28.00 ,  12.00 ,,,,,,
2, GERMNIL HAND SANITIZER PEN , 9 ML , GERMNIL HAND SANITIZER PEN_9 ML ,  35.00 ,  24.00 ,  11.00 ,,,,,,
3, GERMNIL GEL HAND SANITIZER  , 100 ML , GERMNIL GEL HAND SANITIZER _100 ML ,  120.00 ,  85.00 ,  35.00 ,,,,,,
4, GERMNIL HAND SANITIZER  , 50 ML , GERMNIL HAND SANITIZER _50 ML ,  55.00 ,  38.00 ,  17.00 ,,,,,,
5, GERMNIL HAND SANITIZER (SPRAY) , 50 ML , GERMNIL HAND SANITIZER (SPRAY)_50 ML ,  55.00 ,  42.00 ,  13.00 ,,,,,,
6, GERMNIL HAND SANITIZER (SPRAY) , 100 ML , GERMNIL HAND SANITIZER (SPRAY)_100 ML ,  110.00 ,  75.00 ,  35.00 ,,,,,,
7, GERMNIL HAND SANITIZER GEL(SPRAY) , 100 ML , GERMNIL HAND SANITIZER GEL(SPRAY)_100 ML ,  120.00 ,  85.00 ,  35.00 ,,,,,,
8, GERMNIL HAND SANITIZER CAP , 250 ML , GERMNIL HAND SANITIZER CAP_250 ML ,  220.00 ,  150.00 ,  70.00 ,,,,,,
9, GERMNIL HAND SANITIZER WITH DISPENSER PUMP , 250 ML , GERMNIL HAND SANITIZER WITH DISPENSER PUMP_250 ML ,  220.00 ,  150.00 ,  70.00 ,,,,,,
10, GERMNIL HAND SANITIZER WITH CAP , 500 ML , GERMNIL HAND SANITIZER WITH CAP_500 ML ,  385.00 ,  272.00 ,  113.00 ,,,,,,
11, GERMNIL HAND SANITIZER WITH DISPENSER , 500 ML , GERMNIL HAND SANITIZER WITH DISPENSER_500 ML ,  385.00 ,  280.00 ,  105.00 ,,,,,,
12, GERMNIL HAND SANITIZER  , 5 LTR , GERMNIL HAND SANITIZER _5 LTR ,"  3,000.00 ","  2,400.00 ",  600.00 ,,,,,,
13, GERMNIL GEL HAND SANITIZER GEL , 5 LTR , GERMNIL GEL HAND SANITIZER GEL_5 LTR ,"  3,200.00 ","  2,600.00 ",  600.00 ,,,,,,
14, GERMNIL SURGICAL FACE MASK , 50 PCS , GERMNIL SURGICAL FACE MASK_50 PCS ,  500.00 ,  320.00 ,  180.00 ,,,,,,
15, GERMNIL SURGICAL FACE MASK , 10 PCS , GERMNIL SURGICAL FACE MASK_10 PCS ,  60.00 ,  45.00 ,  15.00 ,,,,,,
16, GERMNIL HAND WASH JESMINE , 200 ML , GERMNIL HAND WASH JESMINE_200 ML ,  90.00 ,  72.00 ,  18.00 ,,,,,,
17, GERMNIL HAND WASH JESMINE , 285 ML , GERMNIL HAND WASH JESMINE_285 ML ,  125.00 ,  100.00 ,  25.00 ,,,,,,
18, VALUE REFILL GERMNIL HAND WASH JESMINE , 180 ML , VALUE REFILL GERMNIL HAND WASH JESMINE_180 ML ,  60.00 ,  45.00 ,  15.00 ,,,,,,
19, GERMNIL HAND WASH JESMINE , 1 LTR , GERMNIL HAND WASH JESMINE_1 LTR ,  300.00 ,  240.00 ,  60.00 ,,,,,,
20, GERMNIL HAND WASH JESMINE , 5 LTR , GERMNIL HAND WASH JESMINE_5 LTR ,"  1,200.00 ",  900.00 ,  300.00 ,,,,,,
21, GERMNIL HAND WASH LEMON , 200 ML , GERMNIL HAND WASH LEMON_200 ML ,  90.00 ,  72.00 ,  18.00 ,,,,,,
22, GERMNIL HAND WASH LEMON , 285 ML , GERMNIL HAND WASH LEMON_285 ML ,  125.00 ,  100.00 ,  25.00 ,,,,,,
23, GERMNIL HAND WASH LEMON , 1 LTR , GERMNIL HAND WASH LEMON_1 LTR ,  300.00 ,  240.00 ,  60.00 ,,,,,,
24, GERMNIL HAND WASH LEMON , 5 LTR , GERMNIL HAND WASH LEMON_5 LTR ,"  1,200.00 ",  900.00 ,  300.00 ,,,,,,
25, VALUE REFILL GERMNIL HAND WASH LEMON , 180 ML , VALUE REFILL GERMNIL HAND WASH LEMON_180 ML ,  60.00 ,  48.00 ,  12.00 ,,,,,,
26, GERMNIL HAND WASH LAVENDER , 200 ML , GERMNIL HAND WASH LAVENDER_200 ML ,  90.00 ,  72.00 ,  18.00 ,,,,,,
27, VALUE REFILL GERMNIL HAND WASH LAVENDER , 180 ML , VALUE REFILL GERMNIL HAND WASH LAVENDER_180 ML ,  60.00 ,  48.00 ,  12.00 ,,,,,,
28, GERMNIL HAND WASH LAVENDER , 285 ML , GERMNIL HAND WASH LAVENDER_285 ML ,  125.00 ,  100.00 ,  25.00 ,,,,,,
29, GERMNIL HAND WASH LAVENDER , 5 LTR , GERMNIL HAND WASH LAVENDER_5 LTR ,"  1,200.00 ",  900.00 ,  300.00 ,,,,,,
30, GERMNIL HAND WASH PEARL , 200 ML , GERMNIL HAND WASH PEARL_200 ML ,  120.00 ,  96.00 ,  24.00 ,,,,,,
31, GERMNIL HAND WASH PEARL REFILL , 180 ML , GERMNIL HAND WASH PEARL REFILL_180 ML ,  70.00 ,  56.00 ,  14.00 ,,,,,,
32, GERMNIL HAND WASH PEARL , 5 LTR , GERMNIL HAND WASH PEARL_5 LTR ,"  1,250.00 ","  1,000.00 ",  250.00 ,,,,,,
33, GERMNIL FRUIT & VEGETABLE & MULTIPURPOSE DISINFECTANT WITH SPRAY , 500 ML , GERMNIL FRUIT & VEGETABLE & MULTIPURPOSE DISINFECTANT WITH SPRAY_500 ML ,  250.00 ,  200.00 ,  50.00 ,,,,,,
34, GERMNIL FRUIT & VEGETABLE & MULTIPURPOSE DISINFECTANT WITH SPRAY , 1 LTR , GERMNIL FRUIT & VEGETABLE & MULTIPURPOSE DISINFECTANT WITH SPRAY_1 LTR ,  450.00 ,  360.00 ,  90.00 ,,,,,,
35, GERMNIL FRUIT & VEGETABLE & MULTIPURPOSE DISINFECTANT WITH CAP , 1 LTR , GERMNIL FRUIT & VEGETABLE & MULTIPURPOSE DISINFECTANT WITH CAP_1 LTR ,  430.00 ,  340.00 ,  90.00 ,,,,,,
